cluster,latitude,longitude,x,y
0,45.4175181845283,-75.69015567528302,10.9,66.72083333333333
2,45.39932074714286,-75.68573870530612,5.125,62.0611111111111
3,45.428310104999994,-75.69325505285714,17.0,61.160000000000004
5,45.41434193761905,-75.68731050714285,4.166666666666667,60.6875
6,45.40004413454545,-75.67980608181819,2.1666666666666665,64.225
8,45.40006974185185,-75.68316162666667,2.0,63.675
9,45.418842561666665,-75.69123957277777,12.0,64.06
10,45.42824533069768,-75.6947428355814,9.333333333333334,61.209375
11,45.416671352857136,-75.68873286285714,8.5,63.4
12,45.399724107358495,-75.68468804113208,2.1666666666666665,60.96666666666667
13,45.42785024,-75.690527162,27.0,61.8
14,45.429401137058825,-75.69247292058823,6.75,62.5625
15,45.4155253655,-75.6883548875,10.0,62.768750000000004
