d,d,d,d,deci_avg,d,d,traff_avg,d,d,ped_average,longitude,latitude
,,,,0,,,0,,,0,-75.6889024,45.4168112
,,,,0,,,0,,,0,-75.6897876,45.41727029
,,,,0,,,0,,,0,-75.68976514,45.4171309
,,,,0,,,0,,,0,-75.68997739,45.41738577
,,,,0,,,0,,,0,-75.6820282,45.400017
,,,,0,,,0,11,4,7.5,-75.6900061,45.4172591
,,,,0,,,0,,,0,-75.68984009,45.41728294
,,,,0,,,0,,,0,-75.689939,45.417043
79.4,62.2,73.6,61.2,69.1,,,0,,,0,-75.6897981,45.41712066
76.2,67.3,74.5,66.7,71.175,,,0,,,0,-75.68989514,45.41726258
,,,,0,,,0,,,0,-75.68737456,45.41766727
,,,,0,,,0,,,0,-75.68962782,45.41705841
,,,,0,,,0,,,0,-75.69011665,45.4175269
,,,,0,,,0,9,8,8.5,-75.689958,45.417557
,,,,0,,,0,,,0,-75.6896055,45.4170477
,,,,0,,,0,,,0,-75.69011449,45.41764679
,,,,0,,,0,,,0,-75.68999764,45.41743509
,,,,0,,,0,,,0,-75.6893826,45.416905
,,,,0,,,0,,,0,-75.68657874,45.41529579
,,,,0,,,0,,,0,-75.69000014,45.41743525
,,,,0,,,0,,,0,-75.68995211,45.41759699
,,,,0,,,0,,,0,-75.6908569,45.4176516
,,,,0,,,0,,,0,-75.68701026,45.41355937
,,,,0,,,0,,,0,-75.6901345,45.41788684
,,,,0,14,12,13,,,0,-75.6898485,45.41728333
,,,,0,,,0,,,0,-75.68987193,45.41739585
,,,,0,,,0,,,0,-75.69039024,45.41804497
,,,,0,,,0,,,0,-75.69087399,45.41821231
,,,,0,,,0,,,0,-75.69054206,45.41805924
,,,,0,,,0,9,15,12,-75.690308,45.417617
,,,,0,,,0,,,0,-75.6898825,45.4172032
76.3,54.6,77.8,54.6,65.825,,,0,,,0,-75.69020236,45.41761246
,,,,0,13,16,14.5,,,0,-75.6902163,45.41778848
,,,,0,8,6,7,,,0,-75.69044,45.4178064
61.2,51.1,63.4,50.2,56.475,,,0,,,0,-75.686779,45.4137983
,,,,0,,,0,,,0,-75.6887961,45.4160652
,,,,0,,,0,,,0,-75.68987252,45.41737817
78.9,51.7,73.7,54.7,64.75,,,0,,,0,-75.68983235,45.41729423
,,,,0,,,0,,,0,-75.69001321,45.41746198
,,,,0,,,0,,,0,-75.68977937,45.41712993
,,,,0,5,19,12,,,0,-75.68739944,45.41442999
,,,,0,,,0,,,0,-75.69064387,45.41819682
,,,,0,,,0,,,0,-75.6900364,45.4173471
,,,,0,,,0,,,0,-75.69075739,45.4183096
,,,,0,,,0,,,0,-75.6869686,45.41382424
,,,,0,,,0,,,0,-75.69090308,45.41844778
,,,,0,,,0,,,0,-75.68971511,45.41751849
,,,,0,,,0,,,0,-75.68779272,45.41527702
,,,,0,,,0,,,0,-75.68706558,45.4139203
71.8,50.9,74.3,51.4,62.1,,,0,,,0,-75.68714512,45.41407603
,,,,0,,,0,16,17,16.5,-75.690294,45.418097
,,,,0,,,0,,8,4,-75.68758212,45.41474054
,,,,0,,,0,,,0,-75.69090005,45.41860377
,,,,0,,,0,,,0,-75.68696921,45.41381336
,,,,0,,,0,,,0,-75.6910971,45.4180258
,,,,0,7,5,6,,,0,-75.68809737,45.41513277
,,,,0,,,0,,,0,-75.69051415,45.4183073
71.1,51.6,87.4,54.6,66.175,,,0,,,0,-75.69044362,45.41787066
,,,,0,,,0,,,0,-75.68739197,45.41431823
,,,,0,,,0,,,0,-75.69109922,45.41866564
,,,,0,,,0,12,8,10,-75.690569,45.418281
,,,,0,,,0,,,0,-75.6904909,45.41835798
69.6,52.9,74.3,50.6,61.85,,,0,,,0,-75.6871281,45.4141369
,,,,0,,,0,,,0,-75.690403,45.4177
,,,,0,,,0,,,0,-75.69141804,45.41909271
,,,,0,,,0,,7,3.5,-75.68758921,45.41470781
,,,,0,,,0,,,0,-75.68901959,45.41646855
,,,,0,,,0,,,0,-75.68724484,45.41413216
,,,,0,,,0,,,0,-75.68971511,45.41751849
,,,,0,,,0,,,0,-75.69116424,45.41867741
,,,,0,,,0,,,0,-75.6835407,45.39995022
,,,,0,,,0,,,0,-75.6877366,45.41465
,,,,0,16,11,13.5,,,0,-75.68977756,45.4172913
75,58.4,68.8,51,63.3,,,0,,,0,-75.69001589,45.41746923
,,,,0,2,4,3,,,0,-75.6899177,45.4171914
,,,,0,8,10,9,,,0,-75.68788069,45.41509189
,,,,0,,,0,,,0,-75.69114011,45.41886964
,,,,0,,,0,,,0,-75.69073209,45.41811772
,,,,0,,,0,,,0,-75.68823635,45.41545065
,,,,0,,,0,,,0,-75.69036878,45.41771403
,,,,0,,,0,,,0,-75.6874858,45.41441077
,,,,0,,,0,12,18,15,-75.69101188,45.41854537
,,,,0,,,0,,,0,-75.68724678,45.41418354
,,,,0,,,0,,,0,-75.69169805,45.4192357
,,,,0,,,0,,,0,-75.6903494,45.4178823
,,,,0,,,0,,,0,-75.68772515,45.41455229
,,,,0,,,0,,,0,-75.68833184,45.41664238
,,,,0,,,0,,,0,-75.69143815,45.41914162
,,,,0,,,0,,,0,-75.6908476,45.41835591
71.7,52.2,80.4,54,64.575,,,0,,,0,-75.690993,45.41825
,,,,0,,,0,,,0,-75.69181686,45.41967431
,,,,0,,,0,,,0,-75.69078974,45.41833102
,,,,0,,,0,,,0,-75.69196531,45.41949627
,,,,0,,,0,,,0,-75.68775886,45.41478365
,,,,0,,,0,,,0,-75.68747957,45.41460257
,,,,0,,,0,,,0,-75.6904256,45.4180104
,,,,0,,,0,15,9,12,-75.69112106,45.41861042
,,,,0,,,0,,,0,-75.69182895,45.41975993
,,,,0,20,7,13.5,,,0,-75.68871086,45.41591912
75.6,51.8,71.2,50.7,62.325,,,0,,,0,-75.6875865,45.4146843
,,,,0,,,0,,,0,-75.68818156,45.41586523
,,,,0,,,0,,,0,-75.69154962,45.4187652
,,,,0,,,0,,,0,-75.6922975,45.4197597
,,,,0,,,0,9,11,10,-75.68805699,45.41530889
,,,,0,2,2,2,,,0,-75.6889958,45.4164755
77.5,55.4,70.9,58.2,65.5,,,0,,,0,-75.69084874,45.41846022
,,,,0,,,0,,,0,-75.69110088,45.41861286
,,,,0,6,7,6.5,,,0,-75.68919446,45.41664287
,,,,0,,,0,,,0,-75.69113479,45.41865151
,,,,0,9,4,6.5,,,0,-75.68823447,45.41541237
,,,,0,,,0,,,0,-75.68888343,45.41634842
,,,,0,,,0,,,0,-75.69245665,45.41994135
,,,,0,,,0,,,0,-75.6884273,45.4157928
,,,,0,,,0,14,9,11.5,-75.691204,45.419064
