vand,litter,longitude,latitude
,,-75.68496487,45.3990971
,,-75.68613185,45.39945279
,,-75.68625419,45.39935236
,4,-75.6848485,45.3992055
,,-75.68549704,45.39934006
,,-75.68622499,45.39911921
4,,-75.68586922,45.39944435
,,-75.685485,45.399294
,4,-75.685894,45.3994701
4,,-75.68592109,45.39939864
,,-75.68585674,45.39969703
,,-75.68606797,45.39952191
,,-75.68565578,45.39956356
,,-75.6858149,45.399905
,,-75.68607551,45.39950376
,,-75.6855184,45.39964106
,,-75.68561574,45.39959413
,,-75.68237966,45.39962719
4,,-75.68571464,45.39960785
,,-75.68574057,45.39966012
,,-75.68580531,45.3987385
,4,-75.6855739,45.3996189
,,-75.68598998,45.3993471
,,-75.685485,45.399294
4,3,-75.68234008,45.39933537
,,-75.68484974,45.39900302
,4,-75.6856098,45.3993908
,,-75.6852277,45.3998167
,3,-75.68503669,45.39914389
4,,-75.68515097,45.39982319
,,-75.68510765,45.39987948
,,-75.68570327,45.3994541
,,-75.68608501,45.39946985
4,,-75.68489261,45.39985753
,4,-75.6854216,45.3995292
,,-75.68270503,45.39954344
,,-75.68554083,45.39975489
,,-75.68476209,45.39981327
,,-75.68714873,45.40104439
,,-75.6848155,45.3999518
4,,-75.68509217,45.3992538
,,-75.68573379,45.39958372
,,-75.68535441,45.39969641
,,-75.68749647,45.40156795
,,-75.685485,45.399294
,,-75.6847127,45.3997665
4,,-75.68459744,45.39993484
,,-75.68704561,45.40073803
,,-75.6851941,45.3978694
,,-75.6828551,45.3992291
,,-75.6840382,45.3998534
,,-75.68586963,45.3995553
,0,-75.6852141,45.3996979
,,-75.68315675,45.3997154
,,-75.68504322,45.39983201
4,,-75.68457694,45.39999504
,,-75.68523736,45.39972366
,,-75.68438771,45.40002007
,,-75.68479749,45.39984099
,,-75.68068081,45.39891803
4,4,-75.68282804,45.39877252
,,-75.68610983,45.39938252
,,-75.68449478,45.39934569
4,,-75.68458709,45.39998822
,,-75.6796243,45.3979209
,,-75.68450736,45.39998714
,,-75.68578656,45.39885696
,,-75.685212,45.400013
,0,-75.68557786,45.39883958
,,-75.68439516,45.39894949
,,-75.685485,45.399294
,,-75.68220424,45.39874983
,,-75.6840749,45.4001159
,4,-75.6850445,45.3997115
,,-75.68379236,45.40042036
,,-75.68388974,45.40010075
,,-75.68327214,45.40149973
,,-75.68573375,45.39956858
4,,-75.68371286,45.40021977
,,-75.68517646,45.39968338
,,-75.68514616,45.39980276
4,,-75.68337955,45.40031548
,4,-75.6836138,45.3997994
,,-75.68006131,45.39979913
,,-75.68352295,45.40024106
,,-75.6842269,45.3996538
,,-75.68822696,45.40315501
,,-75.67992822,45.39987131
,,-75.68421071,45.40008528
,,-75.68795817,45.40251257
2,,-75.68592689,45.39897974
,3,-75.684698,45.3998667
,,-75.6830748,45.4004479
4,,-75.68344306,45.40028264
,,-75.68418909,45.40019666
,,-75.6835228,45.40026655
,,-75.68336544,45.40033853
,,-75.6780816,45.4005321
,,-75.68485444,45.3999348
,,-75.67975324,45.40002445
,,-75.6850784,45.39899544
,,-75.6851941,45.3978694
4,,-75.68484985,45.39944534
4,,-75.68332923,45.40032289
,,-75.684409,45.399757
,,-75.68523316,45.39904569
,,-75.685485,45.399294
,,-75.68507748,45.3998149
,,-75.6830331,45.4005281
,,-75.6833814,45.40072861
,3,-75.68465257,45.3994944
,,-75.68355528,45.40011895
,,-75.68461947,45.40002635
,4,-75.6843779,45.4000221
,,-75.68473223,45.39998241
,,-75.68441808,45.39948131
,,-75.68651711,45.39976627
,,-75.68418563,45.40009964
,,-75.6846017,45.3988245
,,-75.6783432,45.4016608
,,-75.67955396,45.40077915
,,-75.68447114,45.40001867
,,-75.68381162,45.40034716
,,-75.6848356,45.399434
,,100.47396,13.79162005
,,-75.68745482,45.40148929
,,-75.684089,45.400485
,,-75.68879435,45.40338804
,,-75.68401096,45.4001816
,,-75.70777173,45.37671213
,,-75.684593,45.399135
,,-75.68480267,45.3996011
,,-75.68381541,45.40023009
,,-75.6860014,45.3989872
,,-75.6849731,45.3990165
,,-75.68499931,45.39930391
,,-75.68520709,45.39997644
,,-75.6858507,45.3983931
,,-75.6856984,45.3988238
,,-75.68469976,45.399926
,,-75.68615467,45.39932251
,,-75.67999869,45.39972175
4,3,-75.6838183,45.3989052
,3,-75.6889024,45.4168112
,,-75.6897876,45.41727029
,,-75.68976514,45.4171309
,,-75.68997739,45.41738577
,,-75.6809709,45.4022448
,,-75.6820282,45.400017
,,-75.6900061,45.4172591
2,,-75.68984009,45.41728294
,,-75.689939,45.417043
,,-75.6897981,45.41712066
,,-75.68989514,45.41726258
,,-75.68737456,45.41766727
,,-75.68962782,45.41705841
,,-75.69011665,45.4175269
,,-75.689958,45.417557
,2,-75.6896055,45.4170477
3,,-75.69011449,45.41764679
,,-75.68999764,45.41743509
,,-75.6893826,45.416905
,,-75.68657874,45.41529579
,,-75.69000014,45.41743525
,,-75.68995211,45.41759699
,,-75.6908569,45.4176516
,3,-75.68701026,45.41355937
,,-75.6901345,45.41788684
,,-75.6898485,45.41728333
,,-75.68987193,45.41739585
3,,-75.69039024,45.41804497
,,-75.69087399,45.41821231
,,-75.69054206,45.41805924
,,-75.690308,45.417617
,3,-75.6898825,45.4172032
,,-75.69020236,45.41761246
,,-75.6902163,45.41778848
,,-75.69044,45.4178064
,,-75.686779,45.4137983
,,-75.6887961,45.4160652
,,-75.68987252,45.41737817
,,-75.68983235,45.41729423
,,-75.69001321,45.41746198
,,-75.68977937,45.41712993
,,-75.68739944,45.41442999
,,-75.69064387,45.41819682
,3,-75.6900364,45.4173471
4,,-75.69075739,45.4183096
,2,-75.6869686,45.41382424
,,-75.69090308,45.41844778
,4,-75.68971511,45.41751849
,,-75.68779272,45.41527702
,,-75.68706558,45.4139203
,,-75.68714512,45.41407603
