green_space,veg_index,longitude,latitude
,,-75.68496487,45.3990971
,1,-75.68613185,45.39945279
,1,-75.68625419,45.39935236
,,-75.6848485,45.3992055
,,-75.68549704,45.39934006
1,,-75.68622499,45.39911921
,,-75.68586922,45.39944435
,,-75.685485,45.399294
,,-75.685894,45.3994701
,,-75.68592109,45.39939864
2,,-75.68585674,45.39969703
,1,-75.68606797,45.39952191
,1,-75.68565578,45.39956356
,,-75.6858149,45.399905
,,-75.68607551,45.39950376
,1,-75.6855184,45.39964106
,1,-75.68561574,45.39959413
,2,-75.68237966,45.39962719
,,-75.68571464,45.39960785
2,,-75.68574057,45.39966012
,,-75.68580531,45.3987385
,,-75.6855739,45.3996189
,,-75.68598998,45.3993471
,,-75.685485,45.399294
4,,-75.68234008,45.39933537
,,-75.68484974,45.39900302
,,-75.6856098,45.3993908
,,-75.6852277,45.3998167
,,-75.68503669,45.39914389
,,-75.68515097,45.39982319
2,,-75.68510765,45.39987948
,,-75.68570327,45.3994541
,,-75.68608501,45.39946985
,,-75.68489261,45.39985753
,,-75.6854216,45.3995292
,3,-75.68270503,45.39954344
,1,-75.68554083,45.39975489
2,,-75.68476209,45.39981327
,,-75.68714873,45.40104439
,,-75.6848155,45.3999518
,,-75.68509217,45.3992538
,,-75.68573379,45.39958372
,1,-75.68535441,45.39969641
,,-75.68749647,45.40156795
,,-75.685485,45.399294
2,,-75.6847127,45.3997665
,,-75.68459744,45.39993484
,,-75.68704561,45.40073803
,,-75.6851941,45.3978694
,2,-75.6828551,45.3992291
,,-75.6840382,45.3998534
,,-75.68586963,45.3995553
,,-75.6852141,45.3996979
,3,-75.68315675,45.3997154
,,-75.68504322,45.39983201
,,-75.68457694,45.39999504
,1,-75.68523736,45.39972366
2,,-75.68438771,45.40002007
,1,-75.68479749,45.39984099
,,-75.68068081,45.39891803
4,,-75.68282804,45.39877252
,,-75.68610983,45.39938252
,,-75.68449478,45.39934569
,,-75.68458709,45.39998822
,,-75.6796243,45.3979209
3,,-75.68450736,45.39998714
,,-75.68578656,45.39885696
,,-75.685212,45.400013
,,-75.68557786,45.39883958
,,-75.68439516,45.39894949
,,-75.685485,45.399294
,4,-75.68220424,45.39874983
,,-75.6840749,45.4001159
,,-75.6850445,45.3997115
4,,-75.68379236,45.40042036
,2,-75.68388974,45.40010075
,,-75.68327214,45.40149973
,,-75.68573375,45.39956858
,,-75.68371286,45.40021977
,,-75.68517646,45.39968338
,1,-75.68514616,45.39980276
,,-75.68337955,45.40031548
,,-75.6836138,45.3997994
,,-75.68006131,45.39979913
4,,-75.68352295,45.40024106
,,-75.6842269,45.3996538
,,-75.68822696,45.40315501
,,-75.67992822,45.39987131
,,-75.68421071,45.40008528
,,-75.68795817,45.40251257
,,-75.68592689,45.39897974
,,-75.684698,45.3998667
,,-75.6830748,45.4004479
,,-75.68344306,45.40028264
,,-75.68418909,45.40019666
,2,-75.6835228,45.40026655
3,,-75.68336544,45.40033853
,,-75.6780816,45.4005321
,,-75.68485444,45.3999348
,,-75.67975324,45.40002445
,,-75.6850784,45.39899544
,,-75.6851941,45.3978694
,,-75.68484985,45.39944534
,,-75.68332923,45.40032289
,,-75.684409,45.399757
,1,-75.68523316,45.39904569
,,-75.685485,45.399294
,,-75.68507748,45.3998149
,,-75.6830331,45.4005281
,1,-75.6833814,45.40072861
,,-75.68465257,45.3994944
,,-75.68355528,45.40011895
,,-75.68461947,45.40002635
