cluster,latitude,longitude,x,y
0,45.41777572619048,-75.69029765190476,12.333333333333334,10.75
1,45.3992852525,-75.68558173,5.75,30.5
2,45.428104420869566,-75.69508833695652,11.5,4.0
3,45.400039158,-75.679859084,1.75,6.0
4,45.42972915875,-75.69195059875,5.5,5.5
5,45.399808648378375,-75.68480064891892,2.1666666666666665,4.5
6,45.428110436249995,-75.69079758875,27.0,7.5
7,45.41488294142857,-75.68778545571429,5.625,7.58
8, 45.41658889888888,-75.6890977311111,8.5,5.0
9,45.427840456666665,-75.69261565666667,,17.0
10,45.40026955086956,-75.68372812304348,2.0,1.5
11,45.419375543076924,-75.69164149538462,10.75,8.5
12,45.4172885756,-75.68986071239999,7.5,9.833333333333334
13,45.399458905,-75.68598580590908,4.5,6.25
